2801:1a:5800:402::8/126,CO,CO-DC,Bogota,110111
2801:1a:5800:402::c/126,CO,CO-DC,Bogota,110111
2801:1a:5800:480::/126,CO,CO-DC,Bogota,110111
2801:1a:5800:480::4/126,CO,CO-DC,Bogota,110111
2801:1a:5800:500::/56,CO,CO-DC,Bogota,110111
2801:1a:5800:600::/56,CO,CO-DC,Bogota,110111
2801:1a:5800:700::/56,CO,CO-DC,Bogota,110111
2803:b0e0:1::/112,CO,CO-DC,Bogota,110111
2803:b0e0:1::/126,CO,CO-DC,Bogota,110111
2803:b0e0:1::4/126,CO,CO-DC,Bogota,110111
2803:b0e0:2680::/112,CO,CO-DC,Bogota,110111
2803:b0e0:2680::/126,CO,CO-DC,Bogota,110111
2803:b0e0:2680::/44,CO,CO-DC,Bogota,110111
2803:b0e0:2680::/48,CO,CO-DC,Bogota,110111
2803:b0e0:2680:100::/56,CO,CO-DC,Bogota,110111
2803:b0e0:7000::/36,CO,CO-DC,Bogota,110111
2803:b0e0:7000::/48,CO,CO-DC,Bogota,110111
2803:b0e0:7001::/48,CO,CO-PUT,VILLAGARZON,861080
2803:b0e0:7003::/48,CO,CO-ATL,Barranquilla,80001
2803:b0e0:7004::/48,CO,CO-DC,Bogota,110111
2803:b0e0:7005::/48,CO,CO-VAC,Cali,760001
2803:b0e0:7007::/48,CO,CO-DC,Bogota,110111
2803:b0e0:8000::/36,CO,CO-DC,Bogota,110111
2803:b0e0:99c8::/48,CO,CO-DC,Bogota,110111
2803:b0e0:a000::/126,CO,CO-DC,Bogota,110111
2803:b0e0:a000::/36,CO,CO-DC,Bogota,110111
2803:b0e0:a000::/48,CO,CO-DC,Bogota,110111
2803:cd60:8700::/126,CO,CO-DC,Bogota,110111
2803:cd60:8700::/40,CO,CO-DC,Bogota,110111
2803:cd60:8700::/44,CO,CO-DC,Bogota,110111
2803:cd60:8700::/48,CO,CO-DC,Bogota,110111
2803:cd60:8700::/64,CO,CO-DC,Bogota,110111
2803:cd60:8700::4/126,CO,CO-DC,Bogota,110111
2803:cd60:8700::8/126,CO,CO-DC,Bogota,110111
2803:cd60:8700:100::/56,CO,CO-DC,Bogota,110111
2803:cd60:8710::/44,CO,CO-DC,Bogota,110111
2803:cd60:8720::/126,CO,CO-DC,Bogota,110111
2803:cd60:8720::/44,CO,CO-DC,Bogota,110111
2803:cd60:8720::/48,CO,CO-DC,Bogota,110111
2803:cd60:8720::4/126,CO,CO-DC,Bogota,110111
2803:cd60:8720::8/126,CO,CO-DC,Bogota,110111
2803:cd60:8730::/44,CO,CO-DC,Bogota,110111
38.137.192.0/20,CO,CO-DC,Bogota,110111
38.137.208.0/20,CO,CO-DC,Bogota,110111
38.137.209.0/24,CO,CO-PUT,VILLAGARZON,861080
38.199.64.0/19,CO,CO-DC,Bogota,110111
38.199.64.0/24,CO,CO-DC,Bogota,110111
38.199.65.0/24,CO,CO-DC,Bogota,110111
38.199.66.0/24,CO,CO-DC,Bogota,110111
38.199.67.0/24,CO,CO-DC,Bogota,110111
38.199.68.0/24,CO,CO-VAC,Santander de Quilichao,191030
38.199.69.0/24,CO,CO-CAU,Popayan,190001
38.199.70.0/24,CO,CO-CAU,Popayan,190001
38.199.71.0/24,CO,CO-CAU,Popayan,190001
38.199.72.0/24,CO,CO-ANT,Medellin,050001
38.199.72.0/30,CO,CO-ANT,Medellin,050001
38.199.73.0/24,CO,CO-VAU,Valle del Guamuez,862040
38.199.74.0/24,CO,CO-ATL,Barranquilla,80001
38.199.75.0/24,CO,CO-DC,Bogota,110111
38.199.76.0/24,CO,CO-VAC,Cali,760001
38.199.77.0/24,CO,CO-ANT,Medellin,050001
38.199.78.0/24,CO,CO-DC,Bogota,110111
38.199.79.0/24,CO,CO-DC,Bogota,110111
38.199.80.0/24,CO,CO-DC,Bogota,110111
38.199.81.0/24,CO,CO-DC,Bogota,110111
38.199.82.0/24,CO,CO-DC,Bogota,110111
38.199.83.0/24,CO,CO-DC,Bogota,110111
38.199.84.0/24,CO,CO-DC,Bogota,110111
38.199.85.0/24,CO,CO-DC,Bogota,110111
38.199.86.0/24,CO,CO-DC,Bogota,110111
38.199.87.0/24,CO,CO-DC,Bogota,110111
38.199.93.0/24,CO,CO-DC,Bogota,110111
38.199.93.0/29,CO,CO-DC,Bogota,110111
38.199.93.8/29,CO,CO-DC,Bogota,110111
38.56.108.0/24,CO,CO-DC,Bogota,110111
38.56.108.224/30,CO,CO-DC,Bogota,110111
38.56.108.228/30,CO,CO-DC,Bogota,110111
38.56.108.232/30,CO,CO-DC,Bogota,110111
38.56.108.240/30,CO,CO-DC,Bogota,110111
38.56.108.244/30,CO,CO-DC,Bogota,110111
38.56.108.248/29,CO,CO-DC,Bogota,110111
38.56.122.0/24,CO,CO-DC,Bogota,110111
38.56.122.128/30,CO,CO-DC,Bogota,110111
38.56.122.132/30,CO,CO-DC,Bogota,110111
38.56.122.136/30,CO,CO-DC,Bogota,110111
38.56.122.140/30,CO,CO-DC,Bogota,110111
38.56.122.144/30,CO,CO-DC,Bogota,110111
38.56.122.96/27,CO,CO-DC,Bogota,110111
38.56.123.0/24,CO,CO-DC,Bogota,110111
38.56.123.128/30,CO,CO-DC,Bogota,110111
38.56.123.132/30,CO,CO-DC,Bogota,110111
38.56.124.0/24,CO,CO-DC,Bogota,110111
38.56.124.128/30,CO,CO-DC,Bogota,110111
38.56.124.132/30,CO,CO-DC,Bogota,110111
38.56.124.136/30,CO,CO-DC,Bogota,110111
38.56.124.140/30,CO,CO-DC,Bogota,110111
38.56.124.160/27,CO,CO-DC,Bogota,110111
45.68.24.0/22,CO,CO-DC,Bogota,110111
45.68.24.0/24,CO,CO-DC,Bogota,110111
45.68.25.0/24,CO,CO-DC,Bogota,110111
45.68.27.0/24,CO,CO-DC,Bogota,110111
45.68.27.224/28,CO,CO-DC,Bogota,110111
45.68.27.240/30,CO,CO-DC,Bogota,110111
45.68.27.244/30,CO,CO-DC,Bogota,110111
45.68.27.248/29,CO,CO-DC,Bogota,110111
45.68.28.0/22,CO,CO-DC,Bogota,110111
45.68.28.0/24,CO,CO-DC,Bogota,110111
45.68.29.0/24,CO,CO-DC,Bogota,110111
45.68.30.0/24,CO,CO-DC,Bogota,110111
45.68.36.0/22,CO,CO-DC,Bogota,110111
45.68.36.0/24,CO,CO-DC,Bogota,110111
45.68.37.0/24,CO,CO-DC,Bogota,110111
2801:155:80::/44,EC,EC-P,Quito,170150
2801:155:80::/64,EC,EC-P,Quito,170150
2801:155:81::/48,EC,EC-P,Quito,170150
2801:155:81::/56,EC,EC-P,Quito,170150
2801:155:81:100::/126,EC,EC-P,Quito,170150
2803:cd60:8800::/40,EC,EC-P,Quito,170150
38.199.89.0/24,EC,EC-P,Quito,170150
38.199.92.0/24,EC,EC-P,Quito,170150
45.68.38.0/24,EC,EC-P,Quito,170150
45.68.39.0/24,EC,EC-P,Quito,170150
45.68.39.128/30,EC,EC-P,Quito,170150
45.68.39.160/27,EC,EC-P,Quito,170150
2801:155::/40,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:6::/48,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:6:4156::/64,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:6:4157::/64,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:7:4158::/64,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:8::/48,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:8:4200::/56,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:8:4300::/126,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:9::/48,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:9::/64,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:9:1::/126,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:9:2::/64,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:a::/48,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:a::/64,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:b:1::/126,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:c::/56,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:c::/64,GT,GT-GU,Ciudad de Guatemala,1001
2801:155:c:1::/64,GT,GT-GU,Ciudad de Guatemala,1001
2803:b0e0:2690:1::/64,GT,GT-GU,Ciudad de Guatemala,1001
38.199.88.0/24,GT,GT-GU,Ciudad de Guatemala,1001
38.199.90.0/24,GT,GT-GU,Ciudad de Guatemala,1001
45.68.48.0/22,GT,GT-GU,Ciudad de Guatemala,1001
45.68.48.0/24,GT,GT-GU,Ciudad de Guatemala,1001
45.68.49.0/24,GT,GT-GU,Ciudad de Guatemala,1001
45.68.49.128/30,GT,GT-GU,Ciudad de Guatemala,1001
45.68.49.132/31,GT,GT-GU,Ciudad de Guatemala,1001
45.68.49.134/31,GT,GT-GU,Ciudad de Guatemala,1001
45.68.49.136/29,GT,GT-GU,Ciudad de Guatemala,1001
45.68.49.144/29,GT,GT-GU,Ciudad de Guatemala,1001
45.68.49.152/29,GT,GT-GU,Ciudad de Guatemala,1001
45.68.49.160/27,GT,GT-GU,Ciudad de Guatemala,1001
45.68.49.192/26,GT,GT-GU,Ciudad de Guatemala,1001
45.68.49.80/29,GT,GT-GU,Ciudad de Guatemala,1001
45.68.49.88/30,GT,GT-GU,Ciudad de Guatemala,1001
